source,source_id,school_name,normalised_school_name,school_code,suburb,country,state,postcode,type,sector,latitude,longitude,is_sehs,selectivity_type,entry_year_levels,test_provider,test_name,offers_medicine,offers_dentistry
ACARA,42006,Blackalls Park Public School,Blackalls Park Public School,,Blackalls Park,Australia,NSW,2283,Primary,Public,-32.9984,151.578,FALSE,,,,,FALSE,FALSE
ACARA,40519,Blackburn English Language School,Blackburn English Language School,,Burwood East,Australia,VIC,3151,Special,Public,-37.8479,145.148,FALSE,,,,,FALSE,FALSE
ACARA,50304,Blackburn English Language School-Maroondah Campus,Blackburn English Language School-Maroondah Campus,,Croydon North,Australia,VIC,3136,Special,Public,-37.7695,145.296,FALSE,,,,,FALSE,FALSE
ACARA,52692,Blackburn English Language School-Wodonga Campus,Blackburn English Language School-Wodonga Campus,,Wodonga,Australia,VIC,3690,Special,Public,-36.13058,146.891,FALSE,,,,,FALSE,FALSE
ACARA,45357,Blackburn High School,Blackburn High School,,Blackburn,Australia,VIC,3130,Secondary,Public,-37.8104,145.15,FALSE,program_only,7,Edutest,SEAL/SEALP entrance examination,FALSE,FALSE
ACARA,44876,Blackburn Lake Primary School,Blackburn Lake Primary School,,Blackburn,Australia,VIC,3130,Primary,Public,-37.8276,145.166,FALSE,,,,,FALSE,FALSE
ACARA,44529,Blackburn Primary School,Blackburn Primary School,,Blackburn,Australia,VIC,3130,Primary,Public,-37.8168,145.157,FALSE,,,,,FALSE,FALSE
ACARA,46873,Blackbutt State School,Blackbutt State School,,Blackbutt,Australia,QLD,4314,Primary,Public,-26.8903,152.104,FALSE,,,,,FALSE,FALSE
ACARA,41746,Blackett Public School,Blackett Public School,,Blackett,Australia,NSW,2770,Primary,Public,-33.7396,150.816,FALSE,,,,,FALSE,FALSE
ACARA,49693,Blackfriars Priory School,Blackfriars Priory School,,Prospect,Australia,SA,5082,Combined,Private,-34.8949,138.595,FALSE,,,,,FALSE,FALSE
ACARA,48091,Blackheath and Thornburgh College,Blackheath and Thornburgh College,,Charters Towers,Australia,QLD,4820,Combined,Private,-20.0703,146.257,FALSE,,,,,FALSE,FALSE
ACARA,41617,Blackheath Public School,Blackheath Public School,,Blackheath,Australia,NSW,2785,Primary,Public,-33.6393,150.286,FALSE,,,,,FALSE,FALSE
ACARA,40144,Blackmans Bay Primary School,Blackmans Bay Primary School,,Blackmans Bay,Australia,TAS,7052,Primary,Public,-42.997,147.321,FALSE,,,,,FALSE,FALSE
ACARA,42026,Blacksmiths Public School,Blacksmiths Public School,,Blacksmiths,Australia,NSW,2281,Primary,Public,-33.0722,151.654,FALSE,,,,,FALSE,FALSE
ACARA,41812,Blacktown Boys High School,Blacktown Boys High School,,Blacktown,Australia,NSW,2148,Secondary,Public,-33.7621,150.913,FALSE,,,,,FALSE,FALSE
ACARA,41808,Blacktown Girls High School,Blacktown Girls High School,,Blacktown,Australia,NSW,2148,Secondary,Public,-33.762,150.911,FALSE,,,,,FALSE,FALSE
ACARA,41694,Blacktown North Public School,Blacktown North Public School,,Blacktown,Australia,NSW,2148,Primary,Public,-33.7588,150.913,FALSE,,,,,FALSE,FALSE
ACARA,41708,Blacktown South Public School,Blacktown South Public School,,Blacktown,Australia,NSW,2148,Primary,Public,-33.7802,150.905,FALSE,,,,,FALSE,FALSE
ACARA,41698,Blacktown West Public School,Blacktown West Public School,,Blacktown,Australia,NSW,2148,Primary,Public,-33.7704,150.893,FALSE,,,,,FALSE,FALSE
ACARA,40644,Blacktown Youth College Incorporated,Blacktown Youth College Incorporated,,Hebersham,Australia,NSW,2770,Special,Private,-33.7375,150.826,FALSE,,,,,FALSE,FALSE
ACARA,40965,Blacktown Youth College - Lawson Campus,Blacktown Youth College - Lawson Campus,,Lawson,Australia,NSW,2783,Special,Private,-33.719,150.4327291,FALSE,,,,,FALSE,FALSE
ACARA,42422,Blackville Public School,Blackville Public School,,Blackville,Australia,NSW,2343,Primary,Public,-31.6404,150.237,FALSE,,,,,FALSE,FALSE
ACARA,47309,Blackwater North State School,Blackwater North State School,,Blackwater,Australia,QLD,4717,Primary,Public,-23.5663,148.887,FALSE,,,,,FALSE,FALSE
ACARA,47515,Blackwater State High School,Blackwater State High School,,Blackwater,Australia,QLD,4717,Secondary,Public,-23.5725,148.883,FALSE,,,,,FALSE,FALSE
ACARA,46681,Blackwater State School,Blackwater State School,,Blackwater,Australia,QLD,4717,Primary,Public,-23.5836,148.878,FALSE,,,,,FALSE,FALSE
ACARA,41766,Blackwell Public School,Blackwell Public School,,St Clair,Australia,NSW,2759,Primary,Public,-33.8063,150.783,FALSE,,,,,FALSE,FALSE
